"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","OB_3m3","OB_3m2","OB_3m1","OB_12m1","OB_12m3","OB_29m3","OB_29m2","OB_29m1"
"H2-Q6",19.8887519128909,-2.91884278101286,0.592993193738873,-4.92221970139204,1.67547223428599e-07,0.000125454791433605,6.10648765775809,11.1401212445457,18.3225510227864,5.42909241865262,4.55820019312644,35.6956633486623,37.9010744781724,39.9568249394231
"Eif2ak2",408.672787504995,-0.693522431749448,0.143651094412686,-4.82782560470492,2.86961475914893e-07,0.00020552679968461,390.815210096518,350.913819203188,325.225280654459,342.937671111557,299.017932669095,487.047495468415,500.294183111876,573.13070772485
"Ddx60",62.3803002119202,-1.34044633447646,0.281722213097038,-4.75804275332292,4.24480800509386e-07,0.00029135300944963,42.7454136043066,43.7647620321437,36.6451020455729,43.432739349221,34.642321467761,91.2222507799149,94.2112422743144,112.378570142127
"Vwf",283.205626732897,-0.818952798962658,0.172535633478166,-4.7465719541714,4.52466742739688e-07,0.000298139386126035,134.342728470678,173.467602236497,161.238449000521,260.596436095326,232.468209849449,425.968249294037,515.454612903145,362.108726013522
"Gbp5",91.5074889173471,-1.30895408749287,0.276642292120156,-4.73157620789356,4.9174727978496e-07,0.000311559728457602,64.1181204064599,88.3252470103264,79.703096949121,60.624865341621,44.6703618926391,92.0154877432185,144.024083017055,158.578648978335
"Prokr2",170.260016958827,0.996612425130572,0.213661253891039,4.66445088653657,7.11664313257643e-07,0.000434194304899746,360.282771807727,330.225022606175,288.580178608886,115.820638264589,103.015324364658,56.3198243945561,54.1443921116749,53.6919835123498
"Zc3hav1",297.684679167544,-0.700142190355647,0.151748167085967,-4.61384281471425,9.37331384287532e-07,0.000551452139048876,178.614763989424,221.210978998835,181.393255125586,267.835225986863,255.259210815081,397.411718615107,427.740697682232,452.011582127224
"Mpeg1",271.479917616099,-0.71400920750013,0.155606202752473,-4.58856520415143,1.07444671759716e-06,0.000576088012966996,215.253689935973,187.790615265198,228.115760233691,225.307335374084,220.61688934732,388.686112018768,371.43052988609,334.638408867668
"I830012O16Rik",292.079194349103,-0.949876775963849,0.207084647021085,-4.58690100704149,1.084121192374e-06,0.000576088012966996,167.928410588347,224.393870782991,258.347969421289,262.40613356821,170.476687222929,477.528651908772,333.529455407918,442.022375892368
"Gbp4",49.0168967488098,-1.66623785149398,0.362450421408952,-4.59714695603559,1.02586283690087e-06,0.000576088012966996,42.7454136043066,23.8716883811693,46.7225051081054,28.9551595661473,19.1444408111311,61.0792461743778,74.7192611141114,94.8974592311299
"H2-K1",286.177537356759,-0.873655800558191,0.192188112544229,-4.54583683138641,1.35120390964971e-06,0.000690308330081909,160.29530101615,217.23236426864,291.328561262304,199.066722017263,233.379849888074,391.859059871982,426.657809839998,369.600630689664
"Gbp2",137.6358036038,-0.885713776337592,0.195026873452564,-4.5414960546605,1.38287955397942e-06,0.000690308330081909,103.810290181887,109.01404360734,120.012709199251,108.581848373052,94.81056401703,180.064790669919,186.256708864162,198.535473917759
"Gpr17",376.45485393116,0.650238298064895,0.144082843948314,4.51294741446214,1.60971086060613e-06,0.000779904911963669,494.625500278405,545.865940982738,511.199173535742,380.036469305684,367.390935565991,241.9372738076,262.058857820507,208.524680152614
"Sp100",108.748209926809,-1.07089039805014,0.238505179936847,-4.490008973112,1.81747741323512e-06,0.000855408726520634,58.0116327487018,87.5295240642874,84.2837347048176,74.1975963882525,79.3126833604001,130.090861981792,166.764727703959,189.79491846226
"C3",19.3305267993915,-2.56954309482801,0.575722590551485,-4.46316183696499,2.09342525003819e-06,0.000957916503996644,10.6863534010767,18.3016277588965,17.4064234716471,4.52424368221052,6.38148027037702,31.7294785321443,28.155083898071,37.4595233807092
"Bcas1",1585.29643142373,-0.479481820293551,0.107887034959277,-4.44429509509216,2.31096791214469e-06,0.00102888038964215,1199.92482474946,1384.55792610782,1367.77843385101,1404.32523895815,1419.42354013957,1890.2836835525,2118.12861940872,1897.9491846226
"H2-Gs10",77.2409199464246,-1.25421518677812,0.283192577631592,-4.42884201721466,2.5051641425744e-06,0.00108233187255502,41.2187916898671,69.2278963053909,82.451479602539,47.0521342949894,45.5820019312644,95.9816725597365,127.780765383553,108.632617804057
"Gbp7",214.059180261293,-0.758133721646343,0.1713488499098,-4.42450429078127,2.56243204210804e-06,0.00108233187255502,196.934226962698,171.876156344419,180.477127574446,186.398839707073,142.215846025545,270.49380448653,279.385063296243,284.69237769339
"Ifih1",197.149635035907,-0.783541777595151,0.177402736204186,-4.41674009296741,2.66808909121785e-06,0.00109878578999079,180.141385903864,169.488987506302,188.7222755347,162.872772559579,126.717965368915,241.144036844297,237.152437449136,270.957219120463
"Trf",1486.23413973467,-0.481810390236626,0.109406833069519,-4.40384185081454,2.85291482260419e-06,0.00114624550909168,1207.55793432166,1197.56303378866,1223.94640832213,1385.32341549286,1283.58917438441,1759.3995846074,2069.39866650822,1763.09490045204
"Lgals3bp",300.287656325961,-0.770941503845156,0.176135143781324,-4.37698852877595,3.27790846887943e-06,0.00128564252875835,178.614763989424,179.03766285877,252.851204114453,229.831579056294,274.403651626212,475.148941018861,435.320912577866,377.092535365805
"Neat1",329.539708483636,-0.658298194277538,0.151618994552852,-4.34179237383126,3.92758264933235e-06,0.00149702483171764,225.940043337049,272.932970491369,257.431841870149,289.551595661473,269.845451433085,496.566339028058,408.248716522029,415.800709525872
"Ctss",1125.26858932724,-0.541993170940334,0.124932460335944,-4.33828942040294,3.99860939692687e-06,0.00149702483171764,987.724378642371,861.767950560211,1103.93369912288,1027.00331586179,872.439516964401,1365.95405080881,1369.85312042538,1413.47268223209
"Ptprc",85.4295000093869,-1.07779712487279,0.252692703923128,-4.26524829620988,5.79279378998265e-06,0.00212054871338632,77.8577176364156,63.6578356831181,74.2063316422851,60.624865341621,51.0518421630162,97.5681464863437,122.366326172385,136.10293494991
"Cyp2e1",36.7647110011447,-1.48525549249351,0.352416775313119,-4.21448579220972,7.46935648821001e-06,0.00267484150935399,12.2129753155162,9.54867535246771,11.9096581648112,27.1454620932631,22.7910009656322,60.2860092110742,79.0508124830454,71.1730944233474
"Gfap",2915.11732942818,-0.468009125641518,0.111927015838655,-4.18137767843432,8.80298414385194e-06,0.00308535229365262,2367.7905892957,2704.66229358648,2675.09244932682,2403.27824399023,2661.98891278584,3437.09576199453,3866.99248461582,3204.03789982999
"Irgm2",113.220676298399,-0.976676738196994,0.234857957408706,-4.15858482707212,9.85025323330113e-06,0.00338048378150353,93.1239367808108,77.9808487118197,101.690158176465,95.913966062863,63.8148027037702,146.748838211167,142.941195174822,183.551664565475
"Snora7a",35.331855057437,-2.16885563820268,0.528921550262608,-4.10052424055297,1.3082638167683e-05,0.00438177402276116,16.7928410588347,11.1401212445457,18.3225510227864,14.4775797830737,16.4095206952552,135.643520724917,41.1497380048729,28.7189679252104
"Ifitm3",67.3001525240108,-1.16736066360547,0.284921424261323,-4.0971319255192,1.32998665172135e-05,0.00438177402276116,59.5382546631413,39.7861473019488,55.8837806194986,38.9084956670105,49.2285620857656,115.019359679023,96.3770179587814,83.6596022169171
"Oas2",17.3926661314713,-2.32215669851247,0.578302756805441,-4.01546883736146,1.96961879450619e-05,0.00636186870625499,6.10648765775809,8.75295240642874,15.5741683693685,7.23878989153683,5.46984023175173,26.9700567523227,30.320859582538,38.7081741600661
"Eps8l1",147.546835253095,-1.84681788301264,0.470292471074922,-3.92695608924265,2.99007084407776e-05,0.00947219942586404,155.715435272831,175.059048128575,164.902959205078,36.1939494576842,71.1079230127725,292.704439459031,122.366326172385,162.324601316406
"Rn4.5s",22.1422717835713,-2.57947046679963,0.657612014963059,-3.92248074564838,3.05316702859937e-05,0.00948958876643724,7.63310957219761,8.75295240642874,17.4064234716471,2.71454620932631,11.8513205021288,72.9778006239319,43.3155136893399,12.4865077935697
"Ifi203",33.988535497875,-1.54448567984714,0.39695876623678,-3.89079625193586,3.53743960350705e-05,0.0107062923407014,13.7395972299557,20.6887965970134,16.4902959205078,20.8115209381684,20.0560808497564,53.1468765413417,43.3155136893399,83.6596022169171
"Dhx58",22.8574373404907,-1.87130103545685,0.48130802268502,-3.887948979154,3.58436061511647e-05,0.0107062923407014,13.7395972299557,13.5272900826626,21.0709336762044,9.95333610086314,10.9396804635035,47.5942177982165,33.5695231092385,32.4649202632813
"Gm3604",46.4620740470692,-1.34545172021535,0.346351574504223,-3.88464155862801,3.63960645346495e-05,0.0107062923407014,51.9051450909437,49.3348226544165,38.4773571478515,26.240613356821,21.8793609270069,63.4589570642886,45.4812893738069,74.9190467614183
"Pla2g4a",107.052824948331,-0.93548913972091,0.245047773398939,-3.81757861638649,4.95039451213763e-05,0.0143066401400778,76.3310957219761,101.852537092989,88.8643724605142,85.0557812255578,66.5497228196461,110.259937899201,168.930503388426,158.578648978335
"Pisd-ps2",337.96244220123,-0.682275978556152,0.179382057768817,-3.80347949534313,5.27784200139436e-05,0.0149899812567188,270.212078855795,181.424831696887,307.818857182812,290.456444397915,279.873491857964,439.453277670199,453.730005895836,480.730550052434
"Parp9",94.6193183825931,-0.912885307527328,0.242678530647787,-3.76170609361505,6.37273864785293e-05,0.0177929023298443,94.6505586952503,89.9166929024043,80.6192245002603,76.0072938611367,52.8751222402667,135.643520724917,106.123008538883,121.119125597626
"Mndal",32.6941003285268,-1.66346397815698,0.448359018026381,-3.71011602594577,8.02247803330935e-05,0.0220257134404508,19.8460848877138,13.5272900826626,18.3225510227864,28.9551595661473,7.29312030900231,43.6280329816984,56.3101677961419,73.6703959820613
"Tnnt1",76.0707012261288,-0.949134613797955,0.256221286834352,-3.70435503437142,8.22993137203909e-05,0.0222248622117377,56.4850108342623,66.840727467274,68.7095663354491,49.7666805043157,57.4333224333932,115.812596642327,89.8796909053804,103.638014686629
"Rsad2",43.5492635715208,-1.3991726935715,0.387426047097837,-3.61145747440715,0.000123608440421918,0.0328419651462946,22.8993287165928,35.8075325717539,29.3160816364583,36.1939494576842,16.4095206952552,83.2898811468788,43.3155136893399,81.1623006582032
"Rtp4",54.8624408340946,-1.18257225633249,0.329260134439622,-3.59160473023904,0.000134672049218576,0.0348056390331422,16.7928410588347,35.8075325717539,38.4773571478515,49.7666805043157,29.1724812360092,95.1884355964329,72.5534854296444,101.140713127915
"BC061194",97.386494181546,-0.805530856927906,0.22442279004732,-3.58934516747635,0.00013598879398935,0.0348056390331422,25.9525725454719,22.2802424890913,13.7419132670898,88.6751761713262,109.396804635035,172.132421036883,180.842269652994,166.070553654477
"Esyt3",36.5750160759657,1.3639349766578,0.380238479092182,3.58705142076676,0.000137337858140851,0.0348056390331422,30.5324382887904,53.3134373846114,59.5482908240559,48.8618317678736,45.5820019312644,19.0376871192866,19.491981160203,16.2324601316406
"Lcn2",8.72094190639388,-3.36467401037777,0.947267766830308,-3.55197772815225,0.00015960250984226,0.0398353355247205,4.57986574331856,3.1828917841559,2.74838265341797,0,3.64656015450116,23.7971088991082,20.5748690024365,11.2378570142127
"Ror2",19.4813292134659,1.74070926348005,0.49230131192024,3.53586151678196,0.000170934381731103,0.0420268965709918,22.8993287165928,20.6887965970134,25.651571431901,25.3357646203789,34.642321467761,10.3120805229469,7.58021489563449,8.7405554554988
"Ankdd1b",16.0985229400578,-2.2967944423515,0.651097159006114,-3.52757558619594,0.000177050978140247,0.0428905994544749,7.63310957219761,5.57006062227283,8.2451479602539,8.14363862797894,4.55820019312644,12.6917914128577,51.9786164272079,29.9676187045673
"Rhcg",97.3148790299726,0.800259979395365,0.230045448449603,3.47870381608824,0.000217523870014391,0.0519314595760444,112.970021668525,131.294286096431,107.186923483301,104.962453427284,124.894685291665,69.8048527707175,64.9732705340099,62.4325389678486
"Ddx58",167.105937549149,-0.644452988744787,0.185500261454566,-3.4741352044004,0.000221721702528876,0.0521774515108312,135.869350385117,156.757420369678,119.096581648112,137.5370079392,139.480925909669,232.418430247957,204.665802182131,211.021981711328
"Pyhin1",13.6547290780395,-2.21804559741097,0.639209480530158,-3.4699823218694,0.000225603419979903,0.0523431709482949,6.10648765775809,7.16150651435079,10.0774030625325,6.33394115509473,4.55820019312644,35.6956633486623,20.5748690024365,18.7297616903546
"Cfh",680.924730466057,-0.526596456938146,0.151940881154281,-3.4657983614261,0.000229578626117721,0.052525676500517,700.71945872774,697.849023676182,722.824637848925,583.627435005157,466.759699776148,604.446566037349,837.072302046494,834.098720610457
"Cebpd",164.785028247064,-0.851909953725127,0.246251314016179,-3.45951434666925,0.000235672801856435,0.0531813433559048,143.502459957315,212.458026592407,214.373846966601,104.057604690842,96.6338440942806,120.572018422148,214.411792762233,212.270632490685
"Zfp951",75.1700303881272,-0.98676068997453,0.285632282505515,-3.45465393938964,0.000240490136000249,0.053535054193677,58.0116327487018,44.5604849781827,56.799908170638,64.2442602873894,46.4936419698897,98.3613834496473,85.5481395364464,147.340791964123
"Cnga2",36.5466055555494,-1.37412913302712,0.398295765766371,-3.4500219463371,0.000245166921526874,0.0538484626441625,29.0058163743509,27.8503031113642,30.2322091875976,20.8115209381684,20.9677208883816,52.3536395780381,32.486635267005,78.6649990994892
"Aox3l1",22.6661167103515,-1.97971076587198,0.575819529638671,-3.43807506340444,0.000257626147973866,0.0558404675733355,13.7395972299557,3.1828917841559,14.6580408182291,10.8581848373052,10.9396804635035,65.8386679541994,18.4090933179695,43.702777277494
"Gm12250",12.136816350875,-2.3669140875302,0.690568645906144,-3.42748559692339,0.000269163732766531,0.0561257489856084,7.63310957219761,7.16150651435079,10.9935306136719,4.52424368221052,3.64656015450116,19.8309240825902,27.0721960558375,16.2324601316406
"Igtp",77.8797695276459,-0.97795066854516,0.28488843586453,-3.43274961504649,0.000263369171849659,0.0561257489856084,41.2187916898671,62.0663897910401,87.0321173582356,54.2909241865262,55.6100423561426,127.711151091881,103.957232854416,91.1515068930589
"Necab2",469.877939130776,0.470590198180005,0.137217931998952,3.4295094768197,0.000266921874301884,0.0561257489856084,519.051450909437,526.768590277802,547.844275581314,476.855284104989,563.393543870428,369.648424899481,415.828931417663,339.633011985096
"Vcam1",249.155858000436,-0.558778576831064,0.164052658215398,-3.40609279306769,0.000293964697583027,0.060531005791065,238.153018652565,235.533992027537,234.528653091666,218.973394218989,180.504727647807,260.181723963583,319.451913458882,305.919440942458
"Trim30d",49.7765569503533,-1.09691988724265,0.322659434825387,-3.39962129988937,0.000301879012036377,0.0613932464848794,36.6389259465485,35.0118096257149,30.2322091875976,38.0036469305684,32.8190413905104,96.7749095230401,56.3101677961419,72.4217452027044
"Ifi27l1",138.554220567378,-0.727856095041794,0.215337746373814,-3.38006739319301,0.000327021766533653,0.0649039706037212,73.277851893097,116.971273067729,120.012709199251,105.867302163726,123.071405214414,176.098605853401,213.328904919999,179.805712227404
"Samd9l",338.627436352504,-0.734152741070323,0.2171603791804,-3.38069377038823,0.000326186852141364,0.0649039706037212,401.501563497594,306.353334225006,279.418903097493,315.792209018294,175.946527454681,355.370159560016,371.43052988609,503.20626408086
